origin country,latitude,longitude,km depth,lower yield,upper yield,purpose,name,type,date
USA,37.0,-116.0,-0.45,31.0,31.0,Weapons related,Easy,AIRDROP,1951
USA,37.0,-116.0,-0.001,1.2,1.2,Weapons effects testing,Sugar,SURFACE,1951
USA,37.0,-116.0,0.01,1.2,1.2,Weapons effects testing,Uncle,CRATER,1951
USA,37.0,-116.0,-0.25,1.0,1.0,Weapons effects testing,Able,AIRDROP,1952
USA,37.0,-116.0,-0.35,1.0,1.0,Weapons effects testing,Baker,AIRDROP,1952
USA,37.0,-116.0,-1.15,31.0,31.0,Weapons related,Charlie,AIRDROP,1952
USA,37.0,-116.0,-0.35,19.0,19.0,Weapons related,Dog,AIRDROP,1952
USA,37.0,-116.0,-0.1,12.0,12.0,Weapons related,Easy,TOWER,1952
USA,37.0,-116.0,-0.1,11.0,11.0,Weapons related,Fox,TOWER,1952
USA,37.0,-116.0,-0.1,15.0,15.0,Weapons related,George,TOWER,1952
USA,37.0,-116.0,-0.1,14.0,14.0,Weapons related,How,TOWER,1952
UK,-20.4,115.57,-0.001,25.0,25.0,Weapons effects testing,Hurricane,SHIP,1952
USA,11.3,162.15,-0.001,10400.0,10400.0,Weapons related,Mike,SURFACE,1952
USA,11.3,162.15,-0.5,500.0,500.0,Weapons related,King,AIRDROP,1952
USA,37.0,-116.0,-0.1,16.0,16.0,Weapons related,Annie,TOWER,1953
USA,37.0,-116.0,-0.1,24.0,24.0,Weapons related,Nancy,TOWER,1953
USA,37.0,-116.0,-0.1,0.2,0.2,Weapons related,Ruth,TOWER,1953
USA,37.0,-116.0,-2.0,11.0,11.0,Weapons related,Dixie,AIRDROP,1953
USA,37.0,-116.0,-0.03,0.2,0.2,Weapons related,Ray,TOWER,1953
USA,37.0,-116.0,-0.1,23.0,23.0,Weapons related,Badger,TOWER,1953
USA,37.0,-116.0,-0.1,43.0,43.0,Weapons related,Simon,TOWER,1953
USA,37.0,-116.0,-0.8,27.0,27.0,Weapons effects testing,Encore,AIRDROP,1953
USA,37.0,-116.0,-0.1,32.0,32.0,Weapons related,Harry,TOWER,1953
USA,37.0,-116.0,-0.2,15.0,15.0,Weapons related,Grable,ATMOSPH,1953
USA,37.0,-116.0,-0.4,61.0,61.0,Weapons related,Climax,AIRDROP,1953
USSR,50.0,78.0,0.0,400.0,400.0,Weapons related,Nan,SURFACE,1953
USSR,50.0,78.0,0.0,28.0,28.0,Weapons related,Nan,ATMOSPH,1953
USSR,50.0,78.0,0.0,5.8,5.8,Weapons related,Nan,ATMOSPH,1953
USSR,50.0,78.0,0.0,1.6,1.6,Weapons related,Nan,ATMOSPH,1953
USSR,50.0,78.0,0.0,4.9,4.9,Weapons related,Nan,ATMOSPH,1953
UK,-28.7,132.35,0.0,10.0,10.0,Weapons related,Totem:1,TOWER,1953
UK,-28.7,132.35,0.0,8.0,8.0,Weapons related,Totem:2,TOWER,1953
USA,11.35,165.2,-0.001,15000.0,15000.0,Weapons related,Bravo,SURFACE,1954
USA,11.35,165.2,-0.001,11000.0,11000.0,Weapons related,Romeo,BARGE,1954
USA,11.35,165.2,-0.001,110.0,110.0,Weapons related,Koon,SURFACE,1954
USA,11.35,165.2,-0.001,6900.0,6900.0,Weapons related,Union,BARGE,1954
USA,11.35,165.2,-0.001,13500.0,13500.0,Weapons related,Yankee,BARGE,1954
USA,11.3,162.15,-0.001,1690.0,1690.0,Weapons related,Nectar,BARGE,1954
USSR,52.0,55.0,0.0,40.0,40.0,Military effects,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,0.2,0.2,Weapons related,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,0.03,0.03,Weapons related,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,2.0,2.0,Weapons related,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,4.0,4.0,Weapons related,Nan,SURFACE,1954
USSR,50.0,78.0,0.0,0.8,0.8,Weapons related,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,0.0,0.001,Weapons related,Nan,SURFACE,1954
USSR,50.0,78.0,0.0,62.0,62.0,Weapons related,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,2.8,2.8,Weapons related,Nan,ATMOSPH,1954
USSR,50.0,78.0,0.0,10.0,10.0,Weapons related,Nan,SURFACE,1954
USA,37.0,-116.0,-0.25,1.0,1.0,Weapons effects testing,Wasp,AIRDROP,1955
USA,37.0,-116.0,-0.1,2.0,2.0,Weapons related,Moth,TOWER,1955
USA,37.0,-116.0,-0.1,7.0,7.0,Weapons related,Tesla,TOWER,1955
USA,37.0,-116.0,-0.2,43.0,43.0,Weapons related,Turk,TOWER,1955
USA,37.0,-116.0,-0.1,4.0,4.0,Weapons related,Hornet,TOWER,1955
USA,37.0,-116.0,-0.2,8.0,8.0,Weapons related,Bee,TOWER,1955
USA,37.0,-116.0,0.02,1.0,1.0,Weapons effects testing,Ess,CRATER,1955
USA,37.0,-116.0,-0.2,14.0,14.0,Weapons related,Apple :1,TOWER,1955
USA,37.0,-116.0,-0.25,3.0,3.0,Weapons related,Wasp Prime,AIRDROP,1955
USA,37.0,-116.0,-12.0,3.0,3.0,Weapons effects testing,Ha,AIRDROP,1955
USA,37.0,-116.0,-0.1,2.0,2.0,Weapons related,Post,TOWER,1955
USA,37.0,-116.0,-0.001,22.0,22.0,Weapons effects testing,Met,TOWER,1955
USA,37.0,-116.0,-0.2,29.0,29.0,Weapons related,Apple:2,TOWER,1955
USA,29.0,-126.0,0.0,30.0,30.0,Weapons effects testing,Wigwam,UW,1955
USA,37.0,-116.0,-0.2,28.0,28.0,Weapons related,Zucchini,TOWER,1955
USSR,50.0,78.0,0.0,1.3,1.3,Weapons related,Nan,SURFACE,1955
USSR,50.0,78.0,0.0,12.0,12.0,Weapons related,Nan,SURFACE,1955
USSR,50.0,78.0,0.0,1.2,1.2,Weapons related,Nan,SURFACE,1955
USSR,73.0,55.0,0.0,3.5,3.5,Weapons effects testing,Nan,UW,1955
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Project 56:1,SURFACE,1955
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Project 56:2,SURFACE,1955
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Project 56:3,SURFACE,1955
USSR,50.0,78.0,0.0,250.0,250.0,Weapons related,Nan,ATMOSPH,1955
USSR,50.0,78.0,0.0,1600.0,1600.0,Weapons related,Nan,ATMOSPH,1955
USA,37.0,-116.0,-0.001,0.0,20.0,Storage-transportation safety experiment,Project 56:4,SURFACE,1956
USSR,46.0,61.0,0.0,0.3,0.3,Weapons effects testing,Nan,SURFACE,1956
USSR,50.0,78.0,0.0,14.0,14.0,Weapons related,Nan,SURFACE,1956
USSR,50.0,78.0,0.0,5.5,5.5,Weapons related,Nan,SURFACE,1956
USA,11.3,162.15,-0.001,40.0,40.0,Weapons related,Lacrosse,SURFACE,1956
UK,-20.23,115.55,0.0,15.0,15.0,Weapons related,Mosaic:Gl,TOWER,1956
USA,11.35,165.2,-1.5,3800.0,3800.0,Weapons related,Cherokee,AIRDROP,1956
USA,11.35,165.2,-0.001,3500.0,3500.0,Weapons related,Zuni,SURFACE,1956
USA,11.3,162.15,0.0,0.19,0.19,Weapons related,Yuma,TOWER,1956
USA,11.3,162.15,-0.1,14.9,14.9,Weapons related,Erie,TOWER,1956
USA,11.3,162.15,-0.001,13.7,13.7,Weapons related,Seminole,SURFACE,1956
USA,11.35,165.2,-0.001,365.0,365.0,Weapons related,Flathead,BARGE,1956
USA,11.3,162.15,-0.1,8.0,8.0,Weapons related,Blackfoot,TOWER,1956
USA,11.3,162.15,0.0,1.49,1.49,Weapons related,Kickapoo,TOWER,1956
USA,11.3,162.15,-0.2,1.7,1.7,Weapons related,Osage,AIRDROP,1956
UK,-20.4,115.53,0.0,60.0,60.0,Weapons related,Mosaic:G2,TOWER,1956
USA,11.3,162.15,0.0,15.2,15.2,Weapons related,Inca,TOWER,1956
USA,11.35,165.2,-0.001,1100.0,1100.0,Weapons related,Dakota,BARGE,1956
USA,11.3,162.15,0.0,360.0,360.0,Weapons related,Mohawk,TOWER,1956
USA,11.3,162.15,-0.001,1850.0,1850.0,Weapons related,Apache,BARGE,1956
USA,11.35,165.2,-0.001,4500.0,4500.0,Weapons related,Navajo,BARGE,1956
USA,11.35,165.2,-0.001,5000.0,5000.0,Weapons related,Tewa,BARGE,1956
USA,11.3,162.15,-0.001,250.0,250.0,Weapons related,Huron,BARGE,1956
USSR,50.0,78.0,0.0,27.0,27.0,Weapons related,Nan,SURFACE,1956
USSR,50.0,78.0,0.0,900.0,900.0,Weapons related,Nan,ATMOSPH,1956
USSR,50.0,78.0,0.0,51.0,51.0,Weapons related,Nan,ATMOSPH,1956
USSR,50.0,78.0,0.0,38.0,38.0,Weapons related,Nan,ATMOSPH,1956
UK,-30.0,131.0,0.0,15.0,15.0,Weapons related,Buffalo: Rl,TOWER,1956
UK,-30.0,131.0,-0.001,1.5,1.5,Weapons effects testing,Buffalo:R2,SURFACE,1956
UK,-30.0,131.0,0.0,3.0,3.0,Weapons related,Buffalo: R3,AIRDROP,1956
UK,-30.0,131.0,0.0,10.0,10.0,Weapons related,Buffalo:R4,TOWER,1956
USSR,50.0,78.0,0.0,900.0,900.0,Weapons related,Nan,ATMOSPH,1956
USSR,50.0,78.0,0.0,40.0,40.0,Weapons related,Nan,ATMOSPH,1956
USSR,48.0,46.0,0.0,10.0,10.0,Weapons effects testing,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,19.0,19.0,Weapons related,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,42.0,42.0,Weapons related,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,57.0,57.0,Weapons related,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,680.0,680.0,Weapons related,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,22.0,22.0,Weapons related,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,320.0,320.0,Weapons related,Nan,ATMOSPH,1957
USA,37.0,-115.0,0.0,0.0,0.0,Storage-transportation safety experiment,Project 57:1,SURFACE,1957
UK,-4.0,-155.0,0.0,300.0,300.0,Weapons related,Grapple:1,AIRDROP,1957
USA,37.0,-116.0,-0.2,12.0,12.0,Weapons related,Boltzmann,TOWER,1957
UK,-4.0,-155.0,0.0,720.0,720.0,Weapons related,Grapple:2,AIRDROP,1957
USA,37.0,-116.0,-0.1,0.14,0.14,Weapons related,Franklin,TOWER,1957
USA,37.0,-116.0,-0.2,0.0005,0.0005,Weapons related,Lassen,BALLOON,1957
USA,37.0,-116.0,-0.2,10.0,10.0,Weapons related,Wilson,BALLOON,1957
UK,-4.0,-155.0,0.0,200.0,200.0,Weapons related,Grapple:3,AIRDROP,1957
USA,37.0,-116.0,-0.2,37.0,37.0,Weapons related,Priscilla,BALLOON,1957
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Coulomb-A,SURFACE,1957
USA,37.0,-116.0,-0.5,74.0,74.0,Weapons related,Hood,BALLOON,1957
USA,37.0,-116.0,-0.2,17.0,17.0,Weapons related,Diablo,TOWER,1957
USA,37.0,-116.0,-6.8,2.0,2.0,Weapons effects testing,John,ROCKET,1957
USA,37.0,-116.0,-0.2,10.0,10.0,Weapons related,Kepler,TOWER,1957
USA,37.0,-116.0,-0.2,9.7,9.7,Weapons related,Owens,BALLOON,1957
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Pascal-A,SHAFT,1957
USA,37.0,-116.0,-0.5,19.0,19.0,Weapons related,Stokes,BALLOON,1957
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Saturn,TUNNEL,1957
USA,37.0,-116.0,-0.2,17.0,17.0,Weapons related,Shasta,TOWER,1957
USSR,50.0,78.0,0.0,520.0,520.0,Weapons related,Nan,ATMOSPH,1957
USA,37.0,-116.0,-0.5,11.0,11.0,Weapons related,Doppler,BALLOON,1957
USSR,50.0,78.0,0.0,0.1,0.1,Storage-transportation safety experiment,Nan,ATMOSPH,1957
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Pascal-B,SHAFT,1957
USA,37.0,-116.0,-0.25,4.7,4.7,Weapons related,Franklin Prime,BALLOON,1957
USA,37.0,-116.0,-0.25,44.0,44.0,Weapons related,Smoky,TOWER,1957
USA,37.0,-116.0,-0.2,11.0,11.0,Weapons related,Galileo,TOWER,1957
USA,37.0,-116.0,-0.2,0.2,0.2,Weapons related,Wheeler,BALLOON,1957
USA,37.0,-116.0,-0.001,0.3,0.3,Storage-transportation safety experiment,Coulomb-B,SURFACE,1957
USSR,73.0,55.0,0.0,32.0,32.0,Flight (missile) system tests,Nan,SURFACE,1957
USA,37.0,-116.0,-0.25,1.0,1.0,Weapons related,Laplace,BALLOON,1957
USSR,50.0,78.0,0.0,5.9,5.9,Weapons related,Nan,ATMOSPH,1957
UK,-30.0,131.0,0.0,1.0,1.0,Weapons related,Antler:1,TOWER,1957
USA,37.0,-116.0,-0.2,11.0,11.0,Weapons related,Fizeau,TOWER,1957
USA,37.0,-116.0,-0.5,12.0,12.0,Weapons related,Newton,BALLOON,1957
USA,37.0,-116.0,0.3,1.7,1.7,Weapons related,Rainier,TUNNEL,1957
USA,37.0,-116.0,-0.2,19.0,19.0,Weapons related,Whitney,TOWER,1957
USSR,73.0,55.0,0.0,1600.0,1600.0,Weapons related,Nan,AIRDROP,1957
UK,-30.0,131.0,0.0,6.0,6.0,Weapons related,Antler:2,TOWER,1957
USSR,50.0,78.0,0.0,13.0,13.0,Weapons related,Nan,ATMOSPH,1957
USA,37.0,-116.0,-0.5,12.0,12.0,Weapons related,Charleston,BALLOON,1957
USSR,73.0,55.0,0.0,2900.0,2900.0,Weapons related,Nan,ATMOSPH,1957
USA,37.0,-116.0,-0.2,8.0,8.0,Weapons related,Morgan,BALLOON,1957
UK,-30.0,131.0,0.0,25.0,25.0,Weapons related,Antler:3,BALLOON,1957
USSR,73.0,55.0,0.0,10.0,10.0,Weapons effects testing,Nan,UW,1957
UK,2.0,-157.0,0.0,1800.0,1800.0,Weapons related,Grapple X,AIRDROP,1957
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Pascal-C,SHAFT,1957
USA,37.0,-116.0,0.0,0.5,0.5,Storage-transportation safety experiment,Coulomb-C,SURFACE,1957
USSR,50.0,78.0,0.0,12.0,12.0,Weapons related,Nan,ATMOSPH,1957
USSR,50.0,78.0,0.0,1.3,1.3,Weapons related,Nan,ATMOSPH,1958
USSR,50.0,78.0,0.0,0.5,0.5,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.0,0.0,0.001,Storage-transportation safety experiment,Venus,TUNNEL,1958
USSR,73.0,55.0,0.0,860.0,860.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,250.0,250.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,1500.0,1500.0,Weapons related,Nan,ATMOSPH,1958
USSR,50.0,78.0,0.0,1.2,1.2,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,40.0,40.0,Flight (missile) system tests,Nan,ATMOSPH,1958
USSR,50.0,78.0,0.0,35.0,35.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.0,0.0,0.001,Storage-transportation safety experiment,Uranus,TUNNEL,1958
USSR,50.0,78.0,0.0,14.0,14.0,Weapons related,Nan,ATMOSPH,1958
USSR,50.0,78.0,0.0,0.16,0.16,Flight (missile) system tests,Nan,ATMOSPH,1958
USSR,50.0,78.0,0.0,12.0,12.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,650.0,650.0,Weapons related,Nan,ATMOSPH,1958
USSR,50.0,78.0,0.0,18.0,18.0,Weapons related,Nan,ATMOSPH,1958
USA,12.617,163.017,-28.0,1.7,1.7,Weapons effects testing,Yucca,BALLOON,1958
UK,2.0,-157.0,0.0,3000.0,3000.0,Weapons related,Grapple Y,AIRDROP,1958
USA,11.3,162.15,-0.001,18.0,18.0,Weapons related,Cactus,SURFACE,1958
USA,11.35,165.2,-0.001,1360.0,1360.0,Weapons related,Fir,BARGE,1958
USA,11.3,162.15,-0.001,81.0,81.0,Weapons related,Butternut,BARGE,1958
USA,11.3,162.15,-0.001,1370.0,1370.0,Weapons related,Koa,SURFACE,1958
USA,11.3,162.15,0.2,9.0,9.0,Weapons effects testing,Wahoo,UW,1958
USA,11.3,162.15,-0.001,5.9,5.9,Weapons related,Holly,BARGE,1958
USA,11.35,165.2,-0.001,25.1,25.1,Weapons related,Nutmeg,BARGE,1958
USA,11.3,162.15,-0.001,330.0,330.0,Weapons related,Yellow Wood,BARGE,1958
USA,11.3,162.15,-0.001,57.0,57.0,Weapons related,Magnolia,BARGE,1958
USA,11.3,162.15,-0.001,11.6,11.6,Weapons related,Tobacco,BARGE,1958
USA,11.35,165.2,-0.001,92.0,92.0,Weapons related,Sycamore,BARGE,1958
USA,11.3,162.15,-0.001,15.0,15.0,Weapons related,Rose,BARGE,1958
USA,11.3,162.15,0.05,8.0,8.0,Weapons effects testing,Umbrella,UW,1958
USA,11.35,165.2,-0.001,213.0,213.0,Weapons related,Maple,BARGE,1958
USA,11.35,165.2,-0.001,319.0,319.0,Weapons related,Aspen,BARGE,1958
USA,11.3,162.15,-0.001,1450.0,1450.0,Weapons related,Walnut,BARGE,1958
USA,11.3,162.15,-0.001,11.0,11.0,Weapons related,Linden,BARGE,1958
USA,11.35,165.2,-0.001,412.0,412.0,Weapons related,Redwood,BARGE,1958
USA,11.3,162.15,-0.001,880.0,880.0,Weapons related,Elder,BARGE,1958
USA,11.3,162.15,-0.001,8900.0,8900.0,Weapons related,Oak,BARGE,1958
USA,11.35,165.2,-0.001,14.0,14.0,Weapons related,Hickory,BARGE,1958
USA,11.3,162.15,-0.001,5.2,5.2,Weapons related,Sequoia,BARGE,1958
USA,11.35,165.2,-0.001,220.0,220.0,Weapons related,Cedar,BARGE,1958
USA,11.3,162.15,-0.001,397.0,397.0,Weapons related,Dogwood,BARGE,1958
USA,11.35,165.2,-0.001,9300.0,9300.0,Weapons related,Poplar,BARGE,1958
USA,11.3,162.15,-0.001,0.0,0.0,Storage-transportation safety experiment,Scaevola,BARGE,1958
USA,11.3,162.15,-0.001,255.0,255.0,Weapons related,Pisonia,BARGE,1958
USA,11.35,165.2,-0.001,65.0,65.0,Weapons related,Juniper,BARGE,1958
USA,11.3,162.15,-0.001,202.0,202.0,Weapons related,Olive,BARGE,1958
USA,11.3,162.15,-0.001,2000.0,2000.0,Weapons related,Pine,BARGE,1958
USA,16.45,-169.32,-85.0,3800.0,3800.0,Weapons effects testing,Teak,ROCKET,1958
USA,11.3,162.15,-0.001,0.0,0.0,Weapons related,Quince,SURFACE,1958
USA,16.45,-169.32,-45.0,3800.0,3800.0,Weapons effects testing,Orange,ROCKET,1958
USA,11.3,162.15,-0.001,0.02,0.02,Weapons related,Fig,SURFACE,1958
UK,2.0,-157.0,0.0,24.0,24.0,Weapons related,Grapple Z,BALLOON,1958
USA,-38.5,-11.5,-160.0,1.0,2.0,Weapons effects testing,Argus:I,ROCKET,1958
USA,-49.5,-8.2,-160.0,1.0,2.0,Weapons effects testing,Argus:Ii,ROCKET,1958
UK,2.0,-157.0,0.0,1000.0,1000.0,Weapons related,Grapple,AIRDROP,1958
USA,-48.5,-9.7,-160.0,1.0,2.0,Weapons effects testing,Argus:Iii,ROCKET,1958
UK,2.0,-157.0,0.0,800.0,800.0,Weapons related,Grapple Z,AIRDROP,1958
USA,37.0,-116.0,0.0,0.038,0.038,Unknown classification,Otero,SHAFT,1958
USA,37.0,-116.0,0.0,0.015,0.015,Storage-transportation safety experiment,Bernalillo,SHAFT,1958
USA,37.0,-116.0,-0.2,0.083,0.083,Weapons related,Eddy,BALLOON,1958
USA,37.0,-116.0,0.0,0.0015,0.0015,Unknown classification,Luna,SHAFT,1958
UK,2.0,-157.0,0.0,25.0,25.0,Weapons related,Grapple Z,BALLOON,1958
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Mercury,TUNNEL,1958
USA,37.0,-116.0,0.0,0.002,0.002,Unknown classification,Valencia,SHAFT,1958
USA,37.0,-116.0,0.0,0.013,0.013,Unknown classification,Mars,TUNNEL,1958
USA,37.0,-116.0,-0.5,2.0,2.0,Weapons related,Mora,BALLOON,1958
USSR,73.0,55.0,0.0,1200.0,1200.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,900.0,900.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,290.0,290.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,40.0,40.0,Flight (missile) system tests,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,9.0,9.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,15.0,15.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.0,0.077,0.077,Storage-transportation safety experiment,Hidalgo,BALLOON,1958
USA,37.0,-116.0,0.0,0.0055,0.0055,Storage-transportation safety experiment,Colfax,SHAFT,1958
USSR,73.0,55.0,0.0,5.5,5.5,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.1,0.072,0.072,Weapons related,Tamalpais,TUNNEL,1958
USSR,73.0,55.0,0.0,68.0,68.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,-0.03,0.079,0.079,Weapons related,Quay,TOWER,1958
USSR,73.0,55.0,0.0,1450.0,1450.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,-0.5,1.4,1.4,Weapons related,Lea,BALLOON,1958
USA,37.0,-116.0,0.0,0.115,0.115,Storage-transportation safety experiment,Neptune,TUNNEL,1958
USSR,73.0,55.0,0.0,1500.0,1500.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,-0.002,0.0012,0.0012,Weapons related,Hamilton,TOWER,1958
USA,37.0,-116.0,0.3,5.0,5.0,Weapons related,Logan,TUNNEL,1958
USA,37.0,-116.0,-0.15,0.037,0.037,Weapons related,Dona Ana,BALLOON,1958
USA,37.0,-116.0,-0.001,0.024,0.024,Storage-transportation safety experiment,Vesta,SURFACE,1958
USSR,73.0,55.0,0.0,2900.0,2900.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,-0.025,0.09,0.09,Weapons related,Rio Arriba,TOWER,1958
USSR,73.0,55.0,0.0,40.0,40.0,Flight (missile) system tests,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,0.0,0.001,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,440.0,440.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,San Juan,SHAFT,1958
USSR,73.0,55.0,0.0,2.0,2.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,2800.0,2800.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,-0.5,6.0,6.0,Weapons related,Socorro,BALLOON,1958
USA,37.0,-116.0,-0.5,0.115,0.115,Weapons related,Wrangell,BALLOON,1958
USA,37.0,-116.0,-0.02,0.188,0.188,Weapons related,Rushmore,BALLOON,1958
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Oberon,TOWER,1958
USSR,73.0,55.0,0.0,1000.0,1000.0,Weapons related,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.0,0.021,0.021,Storage-transportation safety experiment,Catron,TOWER,1958
USA,37.0,-116.0,0.0,0.0017,0.0017,Storage-transportation safety experiment,Juno,SURFACE,1958
USSR,73.0,55.0,0.0,190.0,190.0,Weapons related,Nan,ATMOSPH,1958
USSR,73.0,55.0,0.0,0.0,0.1,Flight (missile) system tests,Nan,ATMOSPH,1958
USA,37.0,-116.0,0.0,0.0007,0.0007,Storage-transportation safety experiment,Ceres,TOWER,1958
USA,37.0,-116.0,-0.5,4.9,4.9,Weapons related,Sanford,BALLOON,1958
USA,37.0,-116.0,-0.5,2.2,2.2,Weapons related,Debaca,BALLOON,1958
USA,37.0,-116.0,0.0,0.0006,0.0006,Unknown classification,Chavez,TOWER,1958
USA,37.0,-116.0,0.3,0.055,0.055,Weapons related,Evans,TUNNEL,1958
USA,37.0,-116.0,-0.01,0.0078,0.0078,Weapons related,Humboldt,TOWER,1958
USA,37.0,-116.0,0.0,0.0,0.0,Weapons related,Mazama,TOWER,1958
USA,37.0,-116.0,-0.5,1.3,1.3,Weapons related,Santa Fe,BALLOON,1958
USA,37.0,-116.0,0.3,22.0,22.0,Weapons related,Blanca,TUNNEL,1958
USA,37.0,-116.0,0.0,0.0002,0.0002,Storage-transportation safety experiment,Titania,TOWER,1958
USA,37.0,-116.0,0.0,0.0,0.0,Storage-transportation safety experiment,Ganymede,SURFACE,1958
USSR,48.0,46.0,0.0,10.0,10.0,Weapons effects testing,Nan,ATMOSPH,1958
USSR,48.0,46.0,0.0,10.0,10.0,Weapons effects testing,Nan,ATMOSPH,1958
FRANCE,26.19,-0.04,-0.1,0.0,200.0,Weapons effects testing,Gerboise Bleue,TOWER,1960
FRANCE,26.0,-0.09,-0.001,0.0,20.0,Weapons related,Gerboiseblanche,SURFACE,1960
FRANCE,26.0,-0.1,0.0,0.0,20.0,Weapons effects testing,Gerboise Rouge,TOWER,1960
FRANCE,26.0,-0.1,0.0,0.0,20.0,Weapons related,Gerboise Verte,TOWER,1961
